"","date",".rep",".sim","speciality","wl_type"
"1",2022-12-06,"1",1.01221801288365,"Haematology","lw_wl"
"2",2022-12-07,"1",0,"Haematology","lw_wl"
"3",2022-12-08,"1",0,"Haematology","lw_wl"
"4",2022-12-09,"1",1.07013692340171,"Haematology","lw_wl"
"5",2022-12-10,"1",0,"Haematology","lw_wl"
"6",2022-12-11,"1",1.33209161422585,"Haematology","lw_wl"
"7",2022-12-12,"1",1.38335978913866,"Haematology","lw_wl"
"8",2022-12-13,"1",1.22544615387291,"Haematology","lw_wl"
"9",2022-12-14,"1",0,"Haematology","lw_wl"
"10",2022-12-15,"1",0,"Haematology","lw_wl"
"11",2022-12-16,"1",0,"Haematology","lw_wl"
"12",2022-12-17,"1",0,"Haematology","lw_wl"
"13",2022-12-18,"1",0,"Haematology","lw_wl"
"14",2022-12-19,"1",0,"Haematology","lw_wl"
"15",2022-12-20,"1",0,"Haematology","lw_wl"
"16",2022-12-21,"1",0,"Haematology","lw_wl"
"17",2022-12-22,"1",0,"Haematology","lw_wl"
"18",2022-12-23,"1",0,"Haematology","lw_wl"
"19",2022-12-24,"1",0,"Haematology","lw_wl"
"20",2022-12-25,"1",0,"Haematology","lw_wl"
"21",2022-12-26,"1",0,"Haematology","lw_wl"
"22",2022-12-27,"1",1.02401338379418,"Haematology","lw_wl"
"23",2022-12-28,"1",0,"Haematology","lw_wl"
"24",2022-12-29,"1",0,"Haematology","lw_wl"
"25",2022-12-30,"1",0,"Haematology","lw_wl"
"26",2022-12-31,"1",0,"Haematology","lw_wl"
"27",2023-01-01,"1",0,"Haematology","lw_wl"
"28",2023-01-02,"1",0,"Haematology","lw_wl"
"29",2023-01-03,"1",0,"Haematology","lw_wl"
"30",2023-01-04,"1",0,"Haematology","lw_wl"
"31",2023-01-05,"1",0,"Haematology","lw_wl"
"32",2023-01-06,"1",0,"Haematology","lw_wl"
"33",2023-01-07,"1",0,"Haematology","lw_wl"
"34",2023-01-08,"1",0,"Haematology","lw_wl"
"35",2023-01-09,"1",0,"Haematology","lw_wl"
"36",2023-01-10,"1",0,"Haematology","lw_wl"
"37",2023-01-11,"1",0,"Haematology","lw_wl"
"38",2023-01-12,"1",0,"Haematology","lw_wl"
"39",2023-01-13,"1",0,"Haematology","lw_wl"
"40",2023-01-14,"1",0,"Haematology","lw_wl"
"41",2023-01-15,"1",0,"Haematology","lw_wl"
"42",2023-01-16,"1",0,"Haematology","lw_wl"
"43",2023-01-17,"1",0,"Haematology","lw_wl"
"44",2023-01-18,"1",0,"Haematology","lw_wl"
"45",2023-01-19,"1",0,"Haematology","lw_wl"
"46",2023-01-20,"1",0,"Haematology","lw_wl"
"47",2023-01-21,"1",0,"Haematology","lw_wl"
"48",2023-01-22,"1",0,"Haematology","lw_wl"
"49",2023-01-23,"1",0,"Haematology","lw_wl"
"50",2023-01-24,"1",0,"Haematology","lw_wl"
"51",2023-01-25,"1",0,"Haematology","lw_wl"
"52",2023-01-26,"1",0,"Haematology","lw_wl"
"53",2023-01-27,"1",0,"Haematology","lw_wl"
"54",2023-01-28,"1",0,"Haematology","lw_wl"
"55",2023-01-29,"1",0,"Haematology","lw_wl"
"56",2023-01-30,"1",0,"Haematology","lw_wl"
"57",2023-01-31,"1",0,"Haematology","lw_wl"
"58",2023-02-01,"1",0,"Haematology","lw_wl"
"59",2023-02-02,"1",0,"Haematology","lw_wl"
"60",2023-02-03,"1",0,"Haematology","lw_wl"
"61",2023-02-04,"1",0,"Haematology","lw_wl"
"62",2023-02-05,"1",0,"Haematology","lw_wl"
"63",2023-02-06,"1",0,"Haematology","lw_wl"
"64",2023-02-07,"1",0,"Haematology","lw_wl"
"65",2023-02-08,"1",0,"Haematology","lw_wl"
"66",2023-02-09,"1",0,"Haematology","lw_wl"
"67",2023-02-10,"1",0,"Haematology","lw_wl"
"68",2023-02-11,"1",0,"Haematology","lw_wl"
"69",2023-02-12,"1",0,"Haematology","lw_wl"
"70",2023-02-13,"1",0,"Haematology","lw_wl"
"71",2023-02-14,"1",0,"Haematology","lw_wl"
"72",2023-02-15,"1",0,"Haematology","lw_wl"
"73",2023-02-16,"1",0,"Haematology","lw_wl"
"74",2023-02-17,"1",0,"Haematology","lw_wl"
"75",2023-02-18,"1",0,"Haematology","lw_wl"
"76",2023-02-19,"1",0,"Haematology","lw_wl"
"77",2023-02-20,"1",0,"Haematology","lw_wl"
"78",2023-02-21,"1",0,"Haematology","lw_wl"
"79",2023-02-22,"1",0,"Haematology","lw_wl"
"80",2023-02-23,"1",0,"Haematology","lw_wl"
"81",2023-02-24,"1",0,"Haematology","lw_wl"
"82",2023-02-25,"1",0,"Haematology","lw_wl"
"83",2023-02-26,"1",0,"Haematology","lw_wl"
"84",2023-02-27,"1",0,"Haematology","lw_wl"
"85",2023-02-28,"1",0,"Haematology","lw_wl"
"86",2023-03-01,"1",0,"Haematology","lw_wl"
"87",2023-03-02,"1",0,"Haematology","lw_wl"
"88",2023-03-03,"1",0,"Haematology","lw_wl"
"89",2023-03-04,"1",0,"Haematology","lw_wl"
"90",2023-03-05,"1",0,"Haematology","lw_wl"
"91",2023-03-06,"1",0,"Haematology","lw_wl"
"92",2023-03-07,"1",0,"Haematology","lw_wl"
"93",2023-03-08,"1",0,"Haematology","lw_wl"
"94",2023-03-09,"1",0,"Haematology","lw_wl"
"95",2023-03-10,"1",0,"Haematology","lw_wl"
"96",2023-03-11,"1",0,"Haematology","lw_wl"
"97",2023-03-12,"1",0,"Haematology","lw_wl"
"98",2023-03-13,"1",0,"Haematology","lw_wl"
"99",2023-03-14,"1",0,"Haematology","lw_wl"
"100",2023-03-15,"1",0,"Haematology","lw_wl"
"101",2023-03-16,"1",0,"Haematology","lw_wl"
"102",2023-03-17,"1",0,"Haematology","lw_wl"
"103",2023-03-18,"1",0,"Haematology","lw_wl"
"104",2023-03-19,"1",0,"Haematology","lw_wl"
"105",2023-03-20,"1",0,"Haematology","lw_wl"
"106",2023-03-21,"1",0,"Haematology","lw_wl"
"107",2023-03-22,"1",0,"Haematology","lw_wl"
"108",2023-03-23,"1",0,"Haematology","lw_wl"
"109",2023-03-24,"1",0,"Haematology","lw_wl"
"110",2023-03-25,"1",0,"Haematology","lw_wl"
"111",2023-03-26,"1",0,"Haematology","lw_wl"
"112",2023-03-27,"1",0,"Haematology","lw_wl"
"113",2023-03-28,"1",0,"Haematology","lw_wl"
"114",2023-03-29,"1",0,"Haematology","lw_wl"
"115",2023-03-30,"1",0,"Haematology","lw_wl"
"116",2023-03-31,"1",0,"Haematology","lw_wl"
"117",2023-04-01,"1",0,"Haematology","lw_wl"
"118",2023-04-02,"1",0,"Haematology","lw_wl"
"119",2023-04-03,"1",0,"Haematology","lw_wl"
"120",2023-04-04,"1",0,"Haematology","lw_wl"
"121",2023-04-05,"1",0,"Haematology","lw_wl"
"122",2023-04-06,"1",0,"Haematology","lw_wl"
"123",2023-04-07,"1",0,"Haematology","lw_wl"
"124",2023-04-08,"1",0,"Haematology","lw_wl"
"125",2023-04-09,"1",0,"Haematology","lw_wl"
"126",2023-04-10,"1",0,"Haematology","lw_wl"
"127",2023-04-11,"1",0,"Haematology","lw_wl"
"128",2023-04-12,"1",0,"Haematology","lw_wl"
"129",2023-04-13,"1",0,"Haematology","lw_wl"
"130",2023-04-14,"1",0,"Haematology","lw_wl"
"131",2023-04-15,"1",0,"Haematology","lw_wl"
"132",2023-04-16,"1",0,"Haematology","lw_wl"
"133",2023-04-17,"1",0,"Haematology","lw_wl"
"134",2023-04-18,"1",0,"Haematology","lw_wl"
"135",2023-04-19,"1",0,"Haematology","lw_wl"
"136",2023-04-20,"1",0,"Haematology","lw_wl"
"137",2023-04-21,"1",0,"Haematology","lw_wl"
"138",2023-04-22,"1",0,"Haematology","lw_wl"
"139",2023-04-23,"1",0,"Haematology","lw_wl"
"140",2023-04-24,"1",0,"Haematology","lw_wl"
"141",2023-04-25,"1",0,"Haematology","lw_wl"
"142",2023-04-26,"1",0,"Haematology","lw_wl"
"143",2023-04-27,"1",0,"Haematology","lw_wl"
"144",2023-04-28,"1",0,"Haematology","lw_wl"
"145",2023-04-29,"1",0,"Haematology","lw_wl"
"146",2023-04-30,"1",0,"Haematology","lw_wl"
"147",2023-05-01,"1",0,"Haematology","lw_wl"
"148",2023-05-02,"1",0,"Haematology","lw_wl"
"149",2023-05-03,"1",0,"Haematology","lw_wl"
"150",2023-05-04,"1",0,"Haematology","lw_wl"
"151",2023-05-05,"1",0,"Haematology","lw_wl"
"152",2023-05-06,"1",0,"Haematology","lw_wl"
"153",2023-05-07,"1",0,"Haematology","lw_wl"
"154",2023-05-08,"1",0,"Haematology","lw_wl"
"155",2023-05-09,"1",0,"Haematology","lw_wl"
"156",2023-05-10,"1",0,"Haematology","lw_wl"
"157",2023-05-11,"1",0,"Haematology","lw_wl"
"158",2023-05-12,"1",0,"Haematology","lw_wl"
"159",2023-05-13,"1",0,"Haematology","lw_wl"
