"","date",".rep",".sim","speciality","wl_type"
"1",2022-12-14,"1",695.727728159304,"Colorectal Surgery","o_wl"
"2",2022-12-15,"1",706.120985889666,"Colorectal Surgery","o_wl"
"3",2022-12-16,"1",717.516347222602,"Colorectal Surgery","o_wl"
"4",2022-12-17,"1",708.912368088983,"Colorectal Surgery","o_wl"
"5",2022-12-18,"1",702.279561009875,"Colorectal Surgery","o_wl"
"6",2022-12-19,"1",704.615423176897,"Colorectal Surgery","o_wl"
"7",2022-12-20,"1",703.556555468328,"Colorectal Surgery","o_wl"
"8",2022-12-21,"1",707.846609452315,"Colorectal Surgery","o_wl"
"9",2022-12-22,"1",710.367679559426,"Colorectal Surgery","o_wl"
"10",2022-12-23,"1",715.422345499203,"Colorectal Surgery","o_wl"
"11",2022-12-24,"1",707.913971172692,"Colorectal Surgery","o_wl"
"12",2022-12-25,"1",700.627403566884,"Colorectal Surgery","o_wl"
"13",2022-12-26,"1",710.325197919323,"Colorectal Surgery","o_wl"
"14",2022-12-27,"1",715.381232873036,"Colorectal Surgery","o_wl"
"15",2022-12-28,"1",720.418091046064,"Colorectal Surgery","o_wl"
"16",2022-12-29,"1",734.63233844364,"Colorectal Surgery","o_wl"
"17",2022-12-30,"1",748.995006945162,"Colorectal Surgery","o_wl"
"18",2022-12-31,"1",730.991619072404,"Colorectal Surgery","o_wl"
"19",2023-01-01,"1",722.290621618085,"Colorectal Surgery","o_wl"
"20",2023-01-02,"1",717.917309055776,"Colorectal Surgery","o_wl"
"21",2023-01-03,"1",723.859445274663,"Colorectal Surgery","o_wl"
"22",2023-01-04,"1",728.692674954697,"Colorectal Surgery","o_wl"
"23",2023-01-05,"1",718.654332582293,"Colorectal Surgery","o_wl"
"24",2023-01-06,"1",719.305008044137,"Colorectal Surgery","o_wl"
"25",2023-01-07,"1",712.486542075576,"Colorectal Surgery","o_wl"
"26",2023-01-08,"1",712.138474042809,"Colorectal Surgery","o_wl"
"27",2023-01-09,"1",709.573129339337,"Colorectal Surgery","o_wl"
"28",2023-01-10,"1",709.947710552721,"Colorectal Surgery","o_wl"
"29",2023-01-11,"1",705.119214712508,"Colorectal Surgery","o_wl"
"30",2023-01-12,"1",706.325764179469,"Colorectal Surgery","o_wl"
"31",2023-01-13,"1",708.729291774263,"Colorectal Surgery","o_wl"
"32",2023-01-14,"1",711.047493570944,"Colorectal Surgery","o_wl"
"33",2023-01-15,"1",710.412713141017,"Colorectal Surgery","o_wl"
"34",2023-01-16,"1",707.792943159393,"Colorectal Surgery","o_wl"
"35",2023-01-17,"1",713.404638288548,"Colorectal Surgery","o_wl"
"36",2023-01-18,"1",721.529403403868,"Colorectal Surgery","o_wl"
"37",2023-01-19,"1",743.111286809479,"Colorectal Surgery","o_wl"
"38",2023-01-20,"1",743.908378997221,"Colorectal Surgery","o_wl"
"39",2023-01-21,"1",739.322202732192,"Colorectal Surgery","o_wl"
"40",2023-01-22,"1",725.062394035948,"Colorectal Surgery","o_wl"
"41",2023-01-23,"1",726.09046239302,"Colorectal Surgery","o_wl"
"42",2023-01-24,"1",728.227259622042,"Colorectal Surgery","o_wl"
"43",2023-01-25,"1",734.909514997999,"Colorectal Surgery","o_wl"
"44",2023-01-26,"1",741.319316046492,"Colorectal Surgery","o_wl"
"45",2023-01-27,"1",745.781403156269,"Colorectal Surgery","o_wl"
"46",2023-01-28,"1",750.178428877535,"Colorectal Surgery","o_wl"
"47",2023-01-29,"1",755.523802220855,"Colorectal Surgery","o_wl"
"48",2023-01-30,"1",753.327246274561,"Colorectal Surgery","o_wl"
"49",2023-01-31,"1",750.612928283967,"Colorectal Surgery","o_wl"
"50",2023-02-01,"1",751.776097886337,"Colorectal Surgery","o_wl"
"51",2023-02-02,"1",757.039397668497,"Colorectal Surgery","o_wl"
"52",2023-02-03,"1",760.812928046431,"Colorectal Surgery","o_wl"
"53",2023-02-04,"1",766.984151057729,"Colorectal Surgery","o_wl"
"54",2023-02-05,"1",770.971721327681,"Colorectal Surgery","o_wl"
"55",2023-02-06,"1",761.571207287111,"Colorectal Surgery","o_wl"
"56",2023-02-07,"1",756.195213853685,"Colorectal Surgery","o_wl"
"57",2023-02-08,"1",748.769046126159,"Colorectal Surgery","o_wl"
"58",2023-02-09,"1",754.83532740169,"Colorectal Surgery","o_wl"
"59",2023-02-10,"1",772.63662754312,"Colorectal Surgery","o_wl"
"60",2023-02-11,"1",764.262094278835,"Colorectal Surgery","o_wl"
"61",2023-02-12,"1",753.480861553233,"Colorectal Surgery","o_wl"
"62",2023-02-13,"1",752.258668231671,"Colorectal Surgery","o_wl"
"63",2023-02-14,"1",750.946473317059,"Colorectal Surgery","o_wl"
"64",2023-02-15,"1",750.728509641315,"Colorectal Surgery","o_wl"
"65",2023-02-16,"1",763.430796227701,"Colorectal Surgery","o_wl"
"66",2023-02-17,"1",762.744833886442,"Colorectal Surgery","o_wl"
"67",2023-02-18,"1",768.37217999676,"Colorectal Surgery","o_wl"
"68",2023-02-19,"1",773.48863389888,"Colorectal Surgery","o_wl"
"69",2023-02-20,"1",773.448609058242,"Colorectal Surgery","o_wl"
"70",2023-02-21,"1",780.307684434858,"Colorectal Surgery","o_wl"
"71",2023-02-22,"1",775.150152961184,"Colorectal Surgery","o_wl"
"72",2023-02-23,"1",778.866985449251,"Colorectal Surgery","o_wl"
"73",2023-02-24,"1",767.482938479216,"Colorectal Surgery","o_wl"
"74",2023-02-25,"1",771.927201866109,"Colorectal Surgery","o_wl"
"75",2023-02-26,"1",778.769004490427,"Colorectal Surgery","o_wl"
"76",2023-02-27,"1",782.204038852465,"Colorectal Surgery","o_wl"
"77",2023-02-28,"1",778.928781850899,"Colorectal Surgery","o_wl"
"78",2023-03-01,"1",777.733906477946,"Colorectal Surgery","o_wl"
"79",2023-03-02,"1",786.749009233827,"Colorectal Surgery","o_wl"
"80",2023-03-03,"1",790.503037695193,"Colorectal Surgery","o_wl"
