"","date",".rep",".sim","speciality","wl_type"
"1",2022-12-14,"1",1117.76249463541,"Gastroenterology","o_wl"
"2",2022-12-15,"1",1114.05426426931,"Gastroenterology","o_wl"
"3",2022-12-16,"1",1127.42254214122,"Gastroenterology","o_wl"
"4",2022-12-17,"1",1103.97847141423,"Gastroenterology","o_wl"
"5",2022-12-18,"1",1093.03178092162,"Gastroenterology","o_wl"
"6",2022-12-19,"1",1102.2367933724,"Gastroenterology","o_wl"
"7",2022-12-20,"1",1103.93092011412,"Gastroenterology","o_wl"
"8",2022-12-21,"1",1113.30433491974,"Gastroenterology","o_wl"
"9",2022-12-22,"1",1107.67576225696,"Gastroenterology","o_wl"
"10",2022-12-23,"1",1114.48628627127,"Gastroenterology","o_wl"
"11",2022-12-24,"1",1100.35204101155,"Gastroenterology","o_wl"
"12",2022-12-25,"1",1091.42434198333,"Gastroenterology","o_wl"
"13",2022-12-26,"1",1091.69551443237,"Gastroenterology","o_wl"
"14",2022-12-27,"1",1105.64481061527,"Gastroenterology","o_wl"
"15",2022-12-28,"1",1119.19462608323,"Gastroenterology","o_wl"
"16",2022-12-29,"1",1117.330040987,"Gastroenterology","o_wl"
"17",2022-12-30,"1",1133.01910556021,"Gastroenterology","o_wl"
"18",2022-12-31,"1",1111.57755423427,"Gastroenterology","o_wl"
"19",2023-01-01,"1",1109.02145205642,"Gastroenterology","o_wl"
"20",2023-01-02,"1",1106.64172083867,"Gastroenterology","o_wl"
"21",2023-01-03,"1",1110.16683211892,"Gastroenterology","o_wl"
"22",2023-01-04,"1",1107.35554576649,"Gastroenterology","o_wl"
"23",2023-01-05,"1",1106.12801118894,"Gastroenterology","o_wl"
"24",2023-01-06,"1",1126.71944780262,"Gastroenterology","o_wl"
"25",2023-01-07,"1",1102.86300940724,"Gastroenterology","o_wl"
"26",2023-01-08,"1",1094.80966546052,"Gastroenterology","o_wl"
"27",2023-01-09,"1",1093.61977335823,"Gastroenterology","o_wl"
"28",2023-01-10,"1",1099.32563086349,"Gastroenterology","o_wl"
"29",2023-01-11,"1",1098.7886573385,"Gastroenterology","o_wl"
"30",2023-01-12,"1",1108.95961320597,"Gastroenterology","o_wl"
"31",2023-01-13,"1",1128.69676536477,"Gastroenterology","o_wl"
