"","date",".rep",".sim","speciality","wl_type"
"1",2022-12-14,"1",132.441056905579,"Paediatric Dentistry","o_wl"
"2",2022-12-15,"1",133.595443889765,"Paediatric Dentistry","o_wl"
"3",2022-12-16,"1",126.763436956419,"Paediatric Dentistry","o_wl"
"4",2022-12-17,"1",121.712950945593,"Paediatric Dentistry","o_wl"
"5",2022-12-18,"1",122.121400477882,"Paediatric Dentistry","o_wl"
"6",2022-12-19,"1",121.373232440286,"Paediatric Dentistry","o_wl"
"7",2022-12-20,"1",127.815565892636,"Paediatric Dentistry","o_wl"
"8",2022-12-21,"1",126.254531885438,"Paediatric Dentistry","o_wl"
"9",2022-12-22,"1",129.595088186498,"Paediatric Dentistry","o_wl"
"10",2022-12-23,"1",117.645593063095,"Paediatric Dentistry","o_wl"
"11",2022-12-24,"1",114.513737088097,"Paediatric Dentistry","o_wl"
"12",2022-12-25,"1",111.808930124179,"Paediatric Dentistry","o_wl"
"13",2022-12-26,"1",109.539483594507,"Paediatric Dentistry","o_wl"
"14",2022-12-27,"1",116.096470551303,"Paediatric Dentistry","o_wl"
"15",2022-12-28,"1",112.239463677611,"Paediatric Dentistry","o_wl"
"16",2022-12-29,"1",113.098020725032,"Paediatric Dentistry","o_wl"
"17",2022-12-30,"1",105.308167845012,"Paediatric Dentistry","o_wl"
"18",2022-12-31,"1",101.357095787388,"Paediatric Dentistry","o_wl"
"19",2023-01-01,"1",101.342798969668,"Paediatric Dentistry","o_wl"
"20",2023-01-02,"1",102.951711024609,"Paediatric Dentistry","o_wl"
"21",2023-01-03,"1",107.255824172404,"Paediatric Dentistry","o_wl"
"22",2023-01-04,"1",109.721579772611,"Paediatric Dentistry","o_wl"
"23",2023-01-05,"1",114.168670833143,"Paediatric Dentistry","o_wl"
"24",2023-01-06,"1",103.212391085375,"Paediatric Dentistry","o_wl"
"25",2023-01-07,"1",100.639359420802,"Paediatric Dentistry","o_wl"
"26",2023-01-08,"1",102.719544044114,"Paediatric Dentistry","o_wl"
"27",2023-01-09,"1",100.617291803534,"Paediatric Dentistry","o_wl"
"28",2023-01-10,"1",103.311977882497,"Paediatric Dentistry","o_wl"
"29",2023-01-11,"1",101.758891075282,"Paediatric Dentistry","o_wl"
"30",2023-01-12,"1",102.208285295003,"Paediatric Dentistry","o_wl"
"31",2023-01-13,"1",92.828312501074,"Paediatric Dentistry","o_wl"
"32",2023-01-14,"1",90.7483175586405,"Paediatric Dentistry","o_wl"
"33",2023-01-15,"1",93.5014977007811,"Paediatric Dentistry","o_wl"
"34",2023-01-16,"1",96.2795554880033,"Paediatric Dentistry","o_wl"
"35",2023-01-17,"1",96.8811901564018,"Paediatric Dentistry","o_wl"
"36",2023-01-18,"1",93.4592758588287,"Paediatric Dentistry","o_wl"
"37",2023-01-19,"1",94.1505347894853,"Paediatric Dentistry","o_wl"
"38",2023-01-20,"1",84.4582750903466,"Paediatric Dentistry","o_wl"
"39",2023-01-21,"1",83.4096774811153,"Paediatric Dentistry","o_wl"
"40",2023-01-22,"1",84.872398495234,"Paediatric Dentistry","o_wl"
"41",2023-01-23,"1",83.1001769413409,"Paediatric Dentistry","o_wl"
"42",2023-01-24,"1",87.3217889765547,"Paediatric Dentistry","o_wl"
"43",2023-01-25,"1",83.0915095042865,"Paediatric Dentistry","o_wl"
"44",2023-01-26,"1",81.93620499275,"Paediatric Dentistry","o_wl"
"45",2023-01-27,"1",74.3673569218629,"Paediatric Dentistry","o_wl"
"46",2023-01-28,"1",73.1911540582288,"Paediatric Dentistry","o_wl"
"47",2023-01-29,"1",74.7749010877187,"Paediatric Dentistry","o_wl"
"48",2023-01-30,"1",73.2030440375511,"Paediatric Dentistry","o_wl"
"49",2023-01-31,"1",76.257248894081,"Paediatric Dentistry","o_wl"
"50",2023-02-01,"1",73.5686559775081,"Paediatric Dentistry","o_wl"
"51",2023-02-02,"1",75.4677927631496,"Paediatric Dentistry","o_wl"
"52",2023-02-03,"1",64.342869550565,"Paediatric Dentistry","o_wl"
"53",2023-02-04,"1",63.6339493422181,"Paediatric Dentistry","o_wl"
"54",2023-02-05,"1",62.9980599550138,"Paediatric Dentistry","o_wl"
"55",2023-02-06,"1",60.150968658251,"Paediatric Dentistry","o_wl"
"56",2023-02-07,"1",63.983079522585,"Paediatric Dentistry","o_wl"
"57",2023-02-08,"1",59.9982192983023,"Paediatric Dentistry","o_wl"
"58",2023-02-09,"1",59.928020711062,"Paediatric Dentistry","o_wl"
"59",2023-02-10,"1",46.5264104822035,"Paediatric Dentistry","o_wl"
"60",2023-02-11,"1",47.1187773333148,"Paediatric Dentistry","o_wl"
"61",2023-02-12,"1",48.2027390167213,"Paediatric Dentistry","o_wl"
"62",2023-02-13,"1",44.6652573910656,"Paediatric Dentistry","o_wl"
"63",2023-02-14,"1",50.7942471357201,"Paediatric Dentistry","o_wl"
"64",2023-02-15,"1",46.955311052123,"Paediatric Dentistry","o_wl"
"65",2023-02-16,"1",49.210901027812,"Paediatric Dentistry","o_wl"
"66",2023-02-17,"1",38.220370888693,"Paediatric Dentistry","o_wl"
"67",2023-02-18,"1",34.6458008102016,"Paediatric Dentistry","o_wl"
"68",2023-02-19,"1",38.8312980787408,"Paediatric Dentistry","o_wl"
"69",2023-02-20,"1",40.2768105601086,"Paediatric Dentistry","o_wl"
"70",2023-02-21,"1",44.8368703842894,"Paediatric Dentistry","o_wl"
"71",2023-02-22,"1",38.8358924827785,"Paediatric Dentistry","o_wl"
"72",2023-02-23,"1",42.9620658098401,"Paediatric Dentistry","o_wl"
"73",2023-02-24,"1",29.0510500217252,"Paediatric Dentistry","o_wl"
"74",2023-02-25,"1",25.3416936087938,"Paediatric Dentistry","o_wl"
"75",2023-02-26,"1",25.1115948478436,"Paediatric Dentistry","o_wl"
"76",2023-02-27,"1",26.8130005152622,"Paediatric Dentistry","o_wl"
"77",2023-02-28,"1",32.5067747500961,"Paediatric Dentistry","o_wl"
"78",2023-03-01,"1",29.9213959831032,"Paediatric Dentistry","o_wl"
"79",2023-03-02,"1",30.9696673848422,"Paediatric Dentistry","o_wl"
"80",2023-03-03,"1",23.8136535048671,"Paediatric Dentistry","o_wl"
"81",2023-03-04,"1",23.5332035955068,"Paediatric Dentistry","o_wl"
"82",2023-03-05,"1",22.4846310301507,"Paediatric Dentistry","o_wl"
"83",2023-03-06,"1",19.6040948762013,"Paediatric Dentistry","o_wl"
"84",2023-03-07,"1",23.4465692078631,"Paediatric Dentistry","o_wl"
"85",2023-03-08,"1",20.0258680690404,"Paediatric Dentistry","o_wl"
"86",2023-03-09,"1",21.3888786308487,"Paediatric Dentistry","o_wl"
"87",2023-03-10,"1",11.3303628327918,"Paediatric Dentistry","o_wl"
"88",2023-03-11,"1",12.0614374629192,"Paediatric Dentistry","o_wl"
"89",2023-03-12,"1",9.67698149825497,"Paediatric Dentistry","o_wl"
"90",2023-03-13,"1",9.51449225543839,"Paediatric Dentistry","o_wl"
"91",2023-03-14,"1",10.4572536243437,"Paediatric Dentistry","o_wl"
"92",2023-03-15,"1",7.28883658546261,"Paediatric Dentistry","o_wl"
"93",2023-03-16,"1",10.1050768592911,"Paediatric Dentistry","o_wl"
"94",2023-03-17,"1",0,"Paediatric Dentistry","o_wl"
"95",2023-03-18,"1",2.76446079640969,"Paediatric Dentistry","o_wl"
"96",2023-03-19,"1",0,"Paediatric Dentistry","o_wl"
"97",2023-03-20,"1",0,"Paediatric Dentistry","o_wl"
"98",2023-03-21,"1",3.35842604223109,"Paediatric Dentistry","o_wl"
"99",2023-03-22,"1",0,"Paediatric Dentistry","o_wl"
"100",2023-03-23,"1",0,"Paediatric Dentistry","o_wl"
"101",2023-03-24,"1",0,"Paediatric Dentistry","o_wl"
"102",2023-03-25,"1",0,"Paediatric Dentistry","o_wl"
"103",2023-03-26,"1",0,"Paediatric Dentistry","o_wl"
"104",2023-03-27,"1",0,"Paediatric Dentistry","o_wl"
"105",2023-03-28,"1",0,"Paediatric Dentistry","o_wl"
