"","date",".rep",".sim","speciality","wl_type"
"1",2022-12-14,"1",209.464261367026,"Pain Management","o_wl"
"2",2022-12-15,"1",205.585287377266,"Pain Management","o_wl"
"3",2022-12-16,"1",206.344841232876,"Pain Management","o_wl"
"4",2022-12-17,"1",207.195969470652,"Pain Management","o_wl"
"5",2022-12-18,"1",207.677578184963,"Pain Management","o_wl"
"6",2022-12-19,"1",205.477364976699,"Pain Management","o_wl"
"7",2022-12-20,"1",211.22618909318,"Pain Management","o_wl"
"8",2022-12-21,"1",210.365361992711,"Pain Management","o_wl"
"9",2022-12-22,"1",207.618524851077,"Pain Management","o_wl"
"10",2022-12-23,"1",206.223974692342,"Pain Management","o_wl"
"11",2022-12-24,"1",206.57299049144,"Pain Management","o_wl"
"12",2022-12-25,"1",203.796263655402,"Pain Management","o_wl"
"13",2022-12-26,"1",201.978309872694,"Pain Management","o_wl"
"14",2022-12-27,"1",201.828069191657,"Pain Management","o_wl"
"15",2022-12-28,"1",203.685076468665,"Pain Management","o_wl"
"16",2022-12-29,"1",200.816409945295,"Pain Management","o_wl"
"17",2022-12-30,"1",203.867510963441,"Pain Management","o_wl"
"18",2022-12-31,"1",202.937187128159,"Pain Management","o_wl"
"19",2023-01-01,"1",199.234743944936,"Pain Management","o_wl"
"20",2023-01-02,"1",198.10083821682,"Pain Management","o_wl"
"21",2023-01-03,"1",196.805974900721,"Pain Management","o_wl"
"22",2023-01-04,"1",198.391381690483,"Pain Management","o_wl"
"23",2023-01-05,"1",196.784542968019,"Pain Management","o_wl"
"24",2023-01-06,"1",197.652139874722,"Pain Management","o_wl"
"25",2023-01-07,"1",196.428553471158,"Pain Management","o_wl"
"26",2023-01-08,"1",195.386392957674,"Pain Management","o_wl"
"27",2023-01-09,"1",193.413785928177,"Pain Management","o_wl"
"28",2023-01-10,"1",193.149426461345,"Pain Management","o_wl"
"29",2023-01-11,"1",194.73978651094,"Pain Management","o_wl"
"30",2023-01-12,"1",192.380245718529,"Pain Management","o_wl"
"31",2023-01-13,"1",194.034217692356,"Pain Management","o_wl"
"32",2023-01-14,"1",192.472837312902,"Pain Management","o_wl"
"33",2023-01-15,"1",192.00475297003,"Pain Management","o_wl"
"34",2023-01-16,"1",189.073913688223,"Pain Management","o_wl"
"35",2023-01-17,"1",193.242835594005,"Pain Management","o_wl"
"36",2023-01-18,"1",193.245595091495,"Pain Management","o_wl"
"37",2023-01-19,"1",192.819074476125,"Pain Management","o_wl"
"38",2023-01-20,"1",193.151342906687,"Pain Management","o_wl"
"39",2023-01-21,"1",190.453470155365,"Pain Management","o_wl"
"40",2023-01-22,"1",189.409724448636,"Pain Management","o_wl"
"41",2023-01-23,"1",187.114813219754,"Pain Management","o_wl"
"42",2023-01-24,"1",189.450500505903,"Pain Management","o_wl"
"43",2023-01-25,"1",188.968381579086,"Pain Management","o_wl"
"44",2023-01-26,"1",187.506644860213,"Pain Management","o_wl"
"45",2023-01-27,"1",188.228725244687,"Pain Management","o_wl"
"46",2023-01-28,"1",188.353196236541,"Pain Management","o_wl"
"47",2023-01-29,"1",188.44061414716,"Pain Management","o_wl"
"48",2023-01-30,"1",187.345973889514,"Pain Management","o_wl"
"49",2023-01-31,"1",190.236869755296,"Pain Management","o_wl"
"50",2023-02-01,"1",190.325343471588,"Pain Management","o_wl"
"51",2023-02-02,"1",187.119414184001,"Pain Management","o_wl"
"52",2023-02-03,"1",188.793176869883,"Pain Management","o_wl"
"53",2023-02-04,"1",189.283549365979,"Pain Management","o_wl"
"54",2023-02-05,"1",188.891227855425,"Pain Management","o_wl"
"55",2023-02-06,"1",189.901067129638,"Pain Management","o_wl"
"56",2023-02-07,"1",190.074398440904,"Pain Management","o_wl"
"57",2023-02-08,"1",188.756080427757,"Pain Management","o_wl"
"58",2023-02-09,"1",187.845324563972,"Pain Management","o_wl"
"59",2023-02-10,"1",190.662757796347,"Pain Management","o_wl"
"60",2023-02-11,"1",188.762301145972,"Pain Management","o_wl"
"61",2023-02-12,"1",190.276711703346,"Pain Management","o_wl"
"62",2023-02-13,"1",191.719972251531,"Pain Management","o_wl"
"63",2023-02-14,"1",194.43522195283,"Pain Management","o_wl"
"64",2023-02-15,"1",195.05750143744,"Pain Management","o_wl"
"65",2023-02-16,"1",191.228110416964,"Pain Management","o_wl"
"66",2023-02-17,"1",192.545272692836,"Pain Management","o_wl"
"67",2023-02-18,"1",193.774161475228,"Pain Management","o_wl"
"68",2023-02-19,"1",192.983087772934,"Pain Management","o_wl"
"69",2023-02-20,"1",194.153312150858,"Pain Management","o_wl"
"70",2023-02-21,"1",195.312883529327,"Pain Management","o_wl"
"71",2023-02-22,"1",195.863827907025,"Pain Management","o_wl"
"72",2023-02-23,"1",192.325705975653,"Pain Management","o_wl"
"73",2023-02-24,"1",194.818517576545,"Pain Management","o_wl"
"74",2023-02-25,"1",193.691647762902,"Pain Management","o_wl"
"75",2023-02-26,"1",193.889372828575,"Pain Management","o_wl"
"76",2023-02-27,"1",192.287544666897,"Pain Management","o_wl"
"77",2023-02-28,"1",195.604924652803,"Pain Management","o_wl"
"78",2023-03-01,"1",196.756832923983,"Pain Management","o_wl"
"79",2023-03-02,"1",194.580943366651,"Pain Management","o_wl"
"80",2023-03-03,"1",193.760098503551,"Pain Management","o_wl"
"81",2023-03-04,"1",195.194773356038,"Pain Management","o_wl"
"82",2023-03-05,"1",193.141943711536,"Pain Management","o_wl"
"83",2023-03-06,"1",191.815542869421,"Pain Management","o_wl"
"84",2023-03-07,"1",193.676152792371,"Pain Management","o_wl"
"85",2023-03-08,"1",194.988716743744,"Pain Management","o_wl"
"86",2023-03-09,"1",194.5195038469,"Pain Management","o_wl"
"87",2023-03-10,"1",197.88631188809,"Pain Management","o_wl"
"88",2023-03-11,"1",199.019239697946,"Pain Management","o_wl"
"89",2023-03-12,"1",200.218679238189,"Pain Management","o_wl"
"90",2023-03-13,"1",198.02929891855,"Pain Management","o_wl"
"91",2023-03-14,"1",198.289320101437,"Pain Management","o_wl"
"92",2023-03-15,"1",199.714274767719,"Pain Management","o_wl"
"93",2023-03-16,"1",195.664652772181,"Pain Management","o_wl"
"94",2023-03-17,"1",196.39130476673,"Pain Management","o_wl"
"95",2023-03-18,"1",195.334416455769,"Pain Management","o_wl"
"96",2023-03-19,"1",196.481618922269,"Pain Management","o_wl"
"97",2023-03-20,"1",195.402433198701,"Pain Management","o_wl"
"98",2023-03-21,"1",196.448896929635,"Pain Management","o_wl"
"99",2023-03-22,"1",194.147341968044,"Pain Management","o_wl"
"100",2023-03-23,"1",193.125227139741,"Pain Management","o_wl"
"101",2023-03-24,"1",193.571845834472,"Pain Management","o_wl"
"102",2023-03-25,"1",193.964160214625,"Pain Management","o_wl"
"103",2023-03-26,"1",193.052727445775,"Pain Management","o_wl"
"104",2023-03-27,"1",192.507948411873,"Pain Management","o_wl"
"105",2023-03-28,"1",193.588701898831,"Pain Management","o_wl"
"106",2023-03-29,"1",193.76081430116,"Pain Management","o_wl"
"107",2023-03-30,"1",192.219735755482,"Pain Management","o_wl"
"108",2023-03-31,"1",190.81795838097,"Pain Management","o_wl"
"109",2023-04-01,"1",190.002397757781,"Pain Management","o_wl"
"110",2023-04-02,"1",191.19436035036,"Pain Management","o_wl"
"111",2023-04-03,"1",187.969964756777,"Pain Management","o_wl"
"112",2023-04-04,"1",189.555812268549,"Pain Management","o_wl"
"113",2023-04-05,"1",189.342039350456,"Pain Management","o_wl"
"114",2023-04-06,"1",184.972379238465,"Pain Management","o_wl"
"115",2023-04-07,"1",183.76867298028,"Pain Management","o_wl"
"116",2023-04-08,"1",184.586453657321,"Pain Management","o_wl"
"117",2023-04-09,"1",184.347139200132,"Pain Management","o_wl"
"118",2023-04-10,"1",181.817276153177,"Pain Management","o_wl"
"119",2023-04-11,"1",184.514429602451,"Pain Management","o_wl"
"120",2023-04-12,"1",181.956215423453,"Pain Management","o_wl"
