"","date",".rep",".sim","speciality","wl_type"
"1",2022-12-14,"1",78.1559552198193,"Thoracic Medicine","o_wl"
"2",2022-12-15,"1",76.0985951947714,"Thoracic Medicine","o_wl"
"3",2022-12-16,"1",79.1268839907554,"Thoracic Medicine","o_wl"
"4",2022-12-17,"1",79.0415067174643,"Thoracic Medicine","o_wl"
"5",2022-12-18,"1",77.9898582293136,"Thoracic Medicine","o_wl"
"6",2022-12-19,"1",76.2718030369759,"Thoracic Medicine","o_wl"
"7",2022-12-20,"1",77.5191425785814,"Thoracic Medicine","o_wl"
"8",2022-12-21,"1",76.9223032671138,"Thoracic Medicine","o_wl"
"9",2022-12-22,"1",77.0158120242318,"Thoracic Medicine","o_wl"
"10",2022-12-23,"1",78.6233212990237,"Thoracic Medicine","o_wl"
"11",2022-12-24,"1",77.4673401871443,"Thoracic Medicine","o_wl"
"12",2022-12-25,"1",77.1705350549704,"Thoracic Medicine","o_wl"
"13",2022-12-26,"1",74.3859821607833,"Thoracic Medicine","o_wl"
"14",2022-12-27,"1",75.1386952114326,"Thoracic Medicine","o_wl"
"15",2022-12-28,"1",76.3933083981927,"Thoracic Medicine","o_wl"
"16",2022-12-29,"1",75.4073206105615,"Thoracic Medicine","o_wl"
"17",2022-12-30,"1",77.2494027919224,"Thoracic Medicine","o_wl"
"18",2022-12-31,"1",76.112604413698,"Thoracic Medicine","o_wl"
"19",2023-01-01,"1",76.5298609076437,"Thoracic Medicine","o_wl"
"20",2023-01-02,"1",74.0007502157032,"Thoracic Medicine","o_wl"
"21",2023-01-03,"1",73.633623001064,"Thoracic Medicine","o_wl"
"22",2023-01-04,"1",74.0539788531001,"Thoracic Medicine","o_wl"
"23",2023-01-05,"1",72.8097046210149,"Thoracic Medicine","o_wl"
"24",2023-01-06,"1",77.4286840524991,"Thoracic Medicine","o_wl"
"25",2023-01-07,"1",75.0765197672391,"Thoracic Medicine","o_wl"
"26",2023-01-08,"1",72.4299033860318,"Thoracic Medicine","o_wl"
"27",2023-01-09,"1",71.4213858568743,"Thoracic Medicine","o_wl"
"28",2023-01-10,"1",72.1623202704913,"Thoracic Medicine","o_wl"
"29",2023-01-11,"1",72.1237984777582,"Thoracic Medicine","o_wl"
"30",2023-01-12,"1",70.9561930871826,"Thoracic Medicine","o_wl"
"31",2023-01-13,"1",73.2691087104519,"Thoracic Medicine","o_wl"
"32",2023-01-14,"1",71.9088106484098,"Thoracic Medicine","o_wl"
"33",2023-01-15,"1",72.1878423163904,"Thoracic Medicine","o_wl"
"34",2023-01-16,"1",69.1976007490823,"Thoracic Medicine","o_wl"
"35",2023-01-17,"1",68.882625868032,"Thoracic Medicine","o_wl"
"36",2023-01-18,"1",69.2254646199247,"Thoracic Medicine","o_wl"
"37",2023-01-19,"1",69.555651313946,"Thoracic Medicine","o_wl"
"38",2023-01-20,"1",69.7413046211871,"Thoracic Medicine","o_wl"
"39",2023-01-21,"1",69.1224549432191,"Thoracic Medicine","o_wl"
"40",2023-01-22,"1",69.6620399576128,"Thoracic Medicine","o_wl"
"41",2023-01-23,"1",69.9058198894515,"Thoracic Medicine","o_wl"
"42",2023-01-24,"1",68.8606070967923,"Thoracic Medicine","o_wl"
"43",2023-01-25,"1",68.0946003241979,"Thoracic Medicine","o_wl"
"44",2023-01-26,"1",66.5640348698632,"Thoracic Medicine","o_wl"
