dt,adms,dtas,rott,speciality
2022-12-23,1,2,1,Breast Surgery
2022-12-30,3,3,1,Breast Surgery
2023-01-04,4,1,3,Breast Surgery
2023-01-06,3,2,1,Breast Surgery
2023-01-09,4,4,1,Breast Surgery
2023-01-12,2,1,1,Breast Surgery
2023-01-13,4,1,1,Breast Surgery
2023-01-16,4,2,1,Breast Surgery
2023-01-18,4,4,1,Breast Surgery
2023-01-19,2,6,1,Breast Surgery
2023-01-20,3,3,0,Breast Surgery
2023-01-23,4,3,0,Breast Surgery
2023-01-26,4,1,0,Breast Surgery
2023-01-27,7,2,0,Breast Surgery
2023-01-30,2,11,0,Breast Surgery
2023-02-01,4,2,0,Breast Surgery
2023-02-02,4,1,0,Breast Surgery
2023-02-03,4,5,0,Breast Surgery
2023-02-06,5,11,0,Breast Surgery
2023-02-09,3,1,0,Breast Surgery
2023-02-10,4,1,0,Breast Surgery
2022-12-24,0,2,0,Breast Surgery
2022-12-25,0,7,0,Breast Surgery
2022-12-26,0,3,0,Breast Surgery
2022-12-27,0,1,0,Breast Surgery
2022-12-28,0,1,0,Breast Surgery
2022-12-29,0,4,0,Breast Surgery
2022-12-31,0,1,0,Breast Surgery
2023-01-01,0,0,0,Breast Surgery
2023-01-02,0,0,0,Breast Surgery
2023-01-03,0,0,0,Breast Surgery
2023-01-05,0,0,0,Breast Surgery
2023-01-07,0,0,0,Breast Surgery
2023-01-08,0,0,0,Breast Surgery
2023-01-10,0,0,0,Breast Surgery
2023-01-11,0,0,0,Breast Surgery
2023-01-14,0,0,0,Breast Surgery
2023-01-15,0,0,0,Breast Surgery
2023-01-17,0,0,0,Breast Surgery
2023-01-21,0,0,0,Breast Surgery
2023-01-22,0,0,0,Breast Surgery
2023-01-24,0,0,0,Breast Surgery
2023-01-25,0,0,0,Breast Surgery
2023-01-28,0,0,0,Breast Surgery
2023-01-29,0,0,0,Breast Surgery
2023-01-31,0,0,0,Breast Surgery
2023-02-04,0,0,0,Breast Surgery
2023-02-05,0,0,0,Breast Surgery
2023-02-07,0,0,0,Breast Surgery
2023-02-08,0,0,0,Breast Surgery
2023-02-11,0,0,0,Breast Surgery
