dt,adms,dtas,rott,speciality
2021-12-16,4,1,2,Cardiology
2021-12-17,9,4,1,Cardiology
2021-12-20,6,2,1,Cardiology
2021-12-21,1,8,7,Cardiology
2021-12-22,4,49,2,Cardiology
2021-12-23,2,11,1,Cardiology
2021-12-24,2,4,3,Cardiology
2021-12-31,1,1,1,Cardiology
2022-01-04,1,7,1,Cardiology
2022-01-05,1,1,2,Cardiology
2022-01-06,1,4,2,Cardiology
2022-01-07,3,3,1,Cardiology
2022-01-10,5,3,2,Cardiology
2022-01-12,5,5,1,Cardiology
2022-01-13,6,4,1,Cardiology
2022-01-17,2,2,1,Cardiology
2022-01-18,7,15,7,Cardiology
2022-01-19,3,9,1,Cardiology
2022-01-20,6,3,2,Cardiology
2022-01-21,5,5,1,Cardiology
2022-01-24,5,7,1,Cardiology
2022-01-25,7,3,1,Cardiology
2022-01-26,3,3,1,Cardiology
2022-01-27,4,3,1,Cardiology
2022-01-28,2,10,3,Cardiology
2022-01-31,6,2,2,Cardiology
2022-02-01,7,11,1,Cardiology
2022-02-02,5,7,1,Cardiology
2022-02-03,6,3,1,Cardiology
2022-02-04,7,1,6,Cardiology
2022-02-07,4,3,2,Cardiology
2022-02-08,6,9,1,Cardiology
2022-02-09,3,12,2,Cardiology
2022-02-10,6,2,1,Cardiology
2022-02-11,6,3,1,Cardiology
2022-02-14,4,2,1,Cardiology
2022-02-15,9,8,1,Cardiology
2022-02-16,5,3,5,Cardiology
2022-02-17,4,1,1,Cardiology
2022-02-18,4,3,1,Cardiology
2022-02-21,2,15,2,Cardiology
2022-02-22,6,6,1,Cardiology
2022-02-23,3,6,1,Cardiology
2022-02-24,5,5,10,Cardiology
2022-02-25,8,2,1,Cardiology
2022-02-28,6,5,1,Cardiology
2022-03-02,3,2,11,Cardiology
2022-03-03,1,5,1,Cardiology
2022-03-04,7,3,1,Cardiology
2022-03-07,6,8,1,Cardiology
2022-03-08,7,5,1,Cardiology
2022-03-09,3,4,2,Cardiology
2022-03-10,6,5,14,Cardiology
2022-03-11,5,6,1,Cardiology
2022-03-14,5,3,1,Cardiology
2022-03-15,8,6,7,Cardiology
2022-03-16,2,4,1,Cardiology
2022-03-17,4,4,1,Cardiology
2022-03-18,7,4,1,Cardiology
2022-03-21,5,2,1,Cardiology
2022-03-22,3,3,1,Cardiology
2022-03-23,3,2,1,Cardiology
2022-03-24,9,1,2,Cardiology
2022-03-25,5,1,1,Cardiology
2022-03-28,4,14,5,Cardiology
2022-03-29,6,9,1,Cardiology
2022-03-30,2,4,3,Cardiology
2022-03-31,6,11,1,Cardiology
2022-04-01,8,4,5,Cardiology
2022-04-04,4,1,1,Cardiology
2022-04-05,8,9,1,Cardiology
2022-04-06,4,11,1,Cardiology
2022-04-07,2,16,1,Cardiology
2022-04-08,4,7,1,Cardiology
2022-04-10,8,3,0,Cardiology
2022-04-11,5,4,0,Cardiology
2022-04-12,10,1,0,Cardiology
2022-04-13,4,2,0,Cardiology
2022-04-14,5,4,0,Cardiology
2022-04-19,2,7,0,Cardiology
2022-04-21,7,6,0,Cardiology
2022-04-22,6,5,0,Cardiology
2022-04-25,7,1,0,Cardiology
2022-04-26,8,4,0,Cardiology
2022-04-27,3,15,0,Cardiology
2022-04-28,3,11,0,Cardiology
2022-04-29,6,7,0,Cardiology
2022-05-03,6,9,0,Cardiology
2022-05-04,3,1,0,Cardiology
2022-05-05,2,3,0,Cardiology
2022-05-06,6,7,0,Cardiology
2022-05-09,2,5,0,Cardiology
2022-05-10,6,5,0,Cardiology
2022-05-11,3,5,0,Cardiology
2022-05-12,5,6,0,Cardiology
2022-05-13,6,4,0,Cardiology
2022-05-14,1,1,0,Cardiology
2022-05-16,5,2,0,Cardiology
2022-05-17,9,4,0,Cardiology
2022-05-18,7,11,0,Cardiology
2022-05-19,6,5,0,Cardiology
