dt,adms,dtas,rott,speciality
2022-12-23,3,10,1,Colorectal Surgery
2022-12-28,16,1,7,Colorectal Surgery
2022-12-29,3,2,1,Colorectal Surgery
2022-12-30,1,13,1,Colorectal Surgery
2023-01-03,8,17,2,Colorectal Surgery
2023-01-04,7,9,1,Colorectal Surgery
2023-01-06,4,1,3,Colorectal Surgery
2023-01-09,9,4,4,Colorectal Surgery
2023-01-10,9,16,6,Colorectal Surgery
2023-01-11,3,17,4,Colorectal Surgery
2023-01-12,1,20,4,Colorectal Surgery
2023-01-13,5,11,4,Colorectal Surgery
2023-01-16,3,1,1,Colorectal Surgery
2023-01-17,5,29,3,Colorectal Surgery
2023-01-20,5,13,3,Colorectal Surgery
2023-01-21,10,23,1,Colorectal Surgery
2023-01-22,11,22,1,Colorectal Surgery
2023-01-23,2,9,1,Colorectal Surgery
2023-01-24,8,21,4,Colorectal Surgery
2023-01-25,5,28,3,Colorectal Surgery
2023-01-26,1,17,5,Colorectal Surgery
2023-01-27,3,18,3,Colorectal Surgery
2023-01-28,3,23,2,Colorectal Surgery
2023-01-29,11,1,3,Colorectal Surgery
2023-01-30,5,2,1,Colorectal Surgery
2023-01-31,8,45,1,Colorectal Surgery
2023-02-01,2,21,2,Colorectal Surgery
2023-02-02,6,10,1,Colorectal Surgery
2023-02-03,12,15,0,Colorectal Surgery
2023-02-04,5,7,0,Colorectal Surgery
2023-02-05,3,1,0,Colorectal Surgery
2023-02-07,2,2,0,Colorectal Surgery
2023-02-08,5,20,0,Colorectal Surgery
2023-02-09,4,12,0,Colorectal Surgery
2023-02-10,1,8,0,Colorectal Surgery
2023-02-11,7,15,0,Colorectal Surgery
2022-12-24,0,4,0,Colorectal Surgery
2022-12-25,0,4,0,Colorectal Surgery
2022-12-26,0,1,0,Colorectal Surgery
2022-12-27,0,13,0,Colorectal Surgery
2022-12-31,0,12,0,Colorectal Surgery
2023-01-01,0,12,0,Colorectal Surgery
2023-01-02,0,6,0,Colorectal Surgery
2023-01-05,0,14,0,Colorectal Surgery
2023-01-07,0,2,0,Colorectal Surgery
2023-01-08,0,0,0,Colorectal Surgery
2023-01-14,0,0,0,Colorectal Surgery
2023-01-15,0,0,0,Colorectal Surgery
2023-01-18,0,0,0,Colorectal Surgery
2023-01-19,0,0,0,Colorectal Surgery
2023-02-06,0,0,0,Colorectal Surgery
