dt,adms,dtas,rott,speciality
2022-12-28,5,1,5,ENT
2022-12-29,3,3,1,ENT
2023-01-04,3,1,1,ENT
2023-01-05,6,2,3,ENT
2023-01-09,6,4,1,ENT
2023-01-11,6,1,2,ENT
2023-01-12,4,2,1,ENT
2023-01-16,6,2,1,ENT
2023-01-23,4,9,5,ENT
2023-01-25,5,3,2,ENT
2023-01-26,3,3,1,ENT
2023-01-30,4,8,1,ENT
2023-02-01,3,3,2,ENT
2023-02-02,6,2,4,ENT
2023-02-06,3,10,3,ENT
2023-02-08,6,3,4,ENT
2023-02-09,2,3,1,ENT
2022-12-23,0,5,5,ENT
2022-12-24,0,3,0,ENT
2022-12-25,0,1,0,ENT
2022-12-26,0,5,0,ENT
2022-12-27,0,1,0,ENT
2022-12-30,0,1,0,ENT
2022-12-31,0,9,0,ENT
2023-01-01,0,7,0,ENT
2023-01-02,0,5,0,ENT
2023-01-03,0,3,0,ENT
2023-01-06,0,6,0,ENT
2023-01-07,0,3,0,ENT
2023-01-08,0,8,0,ENT
2023-01-10,0,2,0,ENT
2023-01-13,0,2,0,ENT
2023-01-14,0,4,0,ENT
2023-01-15,0,5,0,ENT
2023-01-17,0,0,0,ENT
2023-01-18,0,0,0,ENT
2023-01-19,0,0,0,ENT
2023-01-20,0,0,0,ENT
2023-01-21,0,0,0,ENT
2023-01-22,0,0,0,ENT
2023-01-24,0,0,0,ENT
2023-01-27,0,0,0,ENT
2023-01-28,0,0,0,ENT
2023-01-29,0,0,0,ENT
2023-01-31,0,0,0,ENT
2023-02-03,0,0,0,ENT
2023-02-04,0,0,0,ENT
2023-02-05,0,0,0,ENT
2023-02-07,0,0,0,ENT
2023-02-10,0,0,0,ENT
2023-02-11,0,0,0,ENT
