dt,adms,dtas,rott,speciality
2022-12-28,10,1,1,Gastroenterology
2022-12-29,20,1,12,Gastroenterology
2022-12-30,22,20,8,Gastroenterology
2023-01-03,21,25,1,Gastroenterology
2023-01-04,20,23,7,Gastroenterology
2023-01-05,27,2,2,Gastroenterology
2023-01-06,24,2,4,Gastroenterology
2023-01-08,33,37,4,Gastroenterology
2023-01-09,13,33,1,Gastroenterology
2023-01-10,26,51,9,Gastroenterology
2023-01-11,31,45,7,Gastroenterology
2023-01-12,37,2,8,Gastroenterology
2023-01-13,27,10,4,Gastroenterology
2023-01-14,30,38,11,Gastroenterology
2023-01-15,33,33,1,Gastroenterology
2023-01-16,17,26,8,Gastroenterology
2023-01-17,29,45,10,Gastroenterology
2023-01-20,22,25,9,Gastroenterology
2023-01-21,22,4,6,Gastroenterology
2023-01-22,18,6,4,Gastroenterology
2023-01-23,29,28,1,Gastroenterology
2023-01-24,27,46,1,Gastroenterology
2023-01-25,16,34,11,Gastroenterology
2023-01-26,23,29,9,Gastroenterology
2023-01-27,28,44,13,Gastroenterology
2023-01-28,37,9,11,Gastroenterology
2023-01-29,17,7,3,Gastroenterology
2023-01-30,28,66,1,Gastroenterology
2023-01-31,21,43,11,Gastroenterology
2023-02-01,44,41,4,Gastroenterology
2023-02-02,30,43,4,Gastroenterology
2023-02-03,26,40,12,Gastroenterology
2023-02-04,35,7,7,Gastroenterology
2023-02-05,33,4,1,Gastroenterology
2023-02-07,1,46,5,Gastroenterology
2023-02-08,26,42,9,Gastroenterology
2023-02-09,28,32,8,Gastroenterology
2023-02-10,24,29,6,Gastroenterology
2023-02-11,35,20,10,Gastroenterology
2023-02-12,23,7,3,Gastroenterology
2023-02-13,25,5,9,Gastroenterology
2023-02-14,23,36,3,Gastroenterology
2023-02-15,20,42,5,Gastroenterology
2023-02-16,22,45,14,Gastroenterology
2023-02-17,19,46,11,Gastroenterology
2023-02-18,29,41,1,Gastroenterology
2023-02-19,25,3,8,Gastroenterology
2023-02-20,22,10,7,Gastroenterology
2023-02-21,20,38,4,Gastroenterology
2023-02-22,23,39,11,Gastroenterology
2023-02-23,27,36,9,Gastroenterology
2023-02-24,22,48,0,Gastroenterology
2022-12-26,0,21,0,Gastroenterology
2022-12-27,0,3,0,Gastroenterology
2022-12-31,0,3,0,Gastroenterology
2023-01-01,0,31,0,Gastroenterology
2023-01-02,0,29,0,Gastroenterology
2023-01-07,0,27,0,Gastroenterology
2023-01-18,0,16,0,Gastroenterology
2023-01-19,0,15,0,Gastroenterology
2023-02-06,0,0,0,Gastroenterology
