dt,adms,dtas,rott,speciality
2022-12-23,3,5,1,General Surgery
2022-12-28,1,1,2,General Surgery
2022-12-29,3,3,3,General Surgery
2023-01-04,7,2,2,General Surgery
2023-01-06,2,1,2,General Surgery
2023-01-09,7,2,5,General Surgery
2023-01-11,4,13,3,General Surgery
2023-01-12,2,13,4,General Surgery
2023-01-13,4,1,2,General Surgery
2023-01-16,6,4,1,General Surgery
2023-01-20,2,5,2,General Surgery
2023-01-23,7,7,1,General Surgery
2023-01-24,7,7,4,General Surgery
2023-01-25,5,1,2,General Surgery
2023-01-30,7,5,2,General Surgery
2023-02-01,2,9,1,General Surgery
2023-02-03,3,4,1,General Surgery
2023-02-05,1,5,2,General Surgery
2023-02-08,3,3,1,General Surgery
2023-02-10,4,1,1,General Surgery
2023-02-11,2,19,3,General Surgery
2022-12-24,0,6,7,General Surgery
2022-12-25,0,3,1,General Surgery
2022-12-26,0,4,1,General Surgery
2022-12-27,0,9,0,General Surgery
2022-12-30,0,9,0,General Surgery
2022-12-31,0,7,0,General Surgery
2023-01-01,0,2,0,General Surgery
2023-01-02,0,1,0,General Surgery
2023-01-03,0,1,0,General Surgery
2023-01-05,0,13,0,General Surgery
2023-01-07,0,7,0,General Surgery
2023-01-08,0,2,0,General Surgery
2023-01-10,0,0,0,General Surgery
2023-01-14,0,0,0,General Surgery
2023-01-15,0,0,0,General Surgery
2023-01-17,0,0,0,General Surgery
2023-01-18,0,0,0,General Surgery
2023-01-19,0,0,0,General Surgery
2023-01-21,0,0,0,General Surgery
2023-01-22,0,0,0,General Surgery
2023-01-26,0,0,0,General Surgery
2023-01-27,0,0,0,General Surgery
2023-01-28,0,0,0,General Surgery
2023-01-29,0,0,0,General Surgery
2023-01-31,0,0,0,General Surgery
2023-02-02,0,0,0,General Surgery
2023-02-04,0,0,0,General Surgery
2023-02-06,0,0,0,General Surgery
2023-02-07,0,0,0,General Surgery
2023-02-09,0,0,0,General Surgery
