dt,adms,dtas,rott,speciality
2022-12-29,5,1,1,Gynaecology
2023-01-03,3,3,2,Gynaecology
2023-01-05,9,3,1,Gynaecology
2023-01-10,7,1,1,Gynaecology
2023-01-12,6,1,14,Gynaecology
2023-01-17,3,8,1,Gynaecology
2023-01-24,10,4,2,Gynaecology
2023-01-26,6,8,4,Gynaecology
2023-01-31,4,3,2,Gynaecology
2023-02-01,2,2,1,Gynaecology
2023-02-02,10,6,1,Gynaecology
2023-02-07,2,9,1,Gynaecology
2023-02-09,6,2,0,Gynaecology
2022-12-23,0,1,0,Gynaecology
2022-12-24,0,1,0,Gynaecology
2022-12-25,0,1,0,Gynaecology
2022-12-26,0,1,0,Gynaecology
2022-12-27,0,3,0,Gynaecology
2022-12-28,0,2,0,Gynaecology
2022-12-30,0,4,0,Gynaecology
2022-12-31,0,7,0,Gynaecology
2023-01-01,0,2,0,Gynaecology
2023-01-02,0,2,0,Gynaecology
2023-01-04,0,6,0,Gynaecology
2023-01-06,0,2,0,Gynaecology
2023-01-07,0,3,0,Gynaecology
2023-01-08,0,0,0,Gynaecology
2023-01-09,0,0,0,Gynaecology
2023-01-11,0,0,0,Gynaecology
2023-01-13,0,0,0,Gynaecology
2023-01-14,0,0,0,Gynaecology
2023-01-15,0,0,0,Gynaecology
2023-01-16,0,0,0,Gynaecology
2023-01-18,0,0,0,Gynaecology
2023-01-19,0,0,0,Gynaecology
2023-01-20,0,0,0,Gynaecology
2023-01-21,0,0,0,Gynaecology
2023-01-22,0,0,0,Gynaecology
2023-01-23,0,0,0,Gynaecology
2023-01-25,0,0,0,Gynaecology
2023-01-27,0,0,0,Gynaecology
2023-01-28,0,0,0,Gynaecology
2023-01-29,0,0,0,Gynaecology
2023-01-30,0,0,0,Gynaecology
2023-02-03,0,0,0,Gynaecology
2023-02-04,0,0,0,Gynaecology
2023-02-05,0,0,0,Gynaecology
2023-02-06,0,0,0,Gynaecology
2023-02-08,0,0,0,Gynaecology
2023-02-10,0,0,0,Gynaecology
2023-02-11,0,0,0,Gynaecology
