dt,adms,dtas,rott,speciality
2022-12-28,11,2,3,Ophthalmology
2023-01-03,8,1,1,Ophthalmology
2023-01-04,9,5,1,Ophthalmology
2023-01-09,13,3,1,Ophthalmology
2023-01-10,9,9,2,Ophthalmology
2023-01-11,9,6,1,Ophthalmology
2023-01-16,7,4,9,Ophthalmology
2023-01-17,10,14,2,Ophthalmology
2023-01-23,11,6,1,Ophthalmology
2023-01-24,9,4,2,Ophthalmology
2023-01-25,7,2,2,Ophthalmology
2023-01-31,10,4,2,Ophthalmology
2023-02-01,11,9,1,Ophthalmology
2023-02-08,5,7,2,Ophthalmology
2023-02-14,10,8,2,Ophthalmology
2023-02-15,8,6,1,Ophthalmology
2023-02-20,13,6,1,Ophthalmology
2023-02-21,10,7,2,Ophthalmology
2023-02-22,9,7,6,Ophthalmology
2022-12-26,0,5,1,Ophthalmology
2022-12-27,0,8,1,Ophthalmology
2022-12-29,0,8,1,Ophthalmology
2022-12-30,0,9,2,Ophthalmology
2022-12-31,0,8,1,Ophthalmology
2023-01-01,0,1,4,Ophthalmology
2023-01-02,0,12,9,Ophthalmology
2023-01-05,0,5,2,Ophthalmology
2023-01-06,0,8,1,Ophthalmology
2023-01-07,0,9,1,Ophthalmology
2023-01-08,0,3,0,Ophthalmology
2023-01-12,0,6,0,Ophthalmology
2023-01-13,0,5,0,Ophthalmology
2023-01-14,0,8,0,Ophthalmology
2023-01-15,0,15,0,Ophthalmology
2023-01-18,0,3,0,Ophthalmology
2023-01-19,0,5,0,Ophthalmology
2023-01-20,0,4,0,Ophthalmology
2023-01-21,0,7,0,Ophthalmology
2023-01-22,0,6,0,Ophthalmology
2023-01-26,0,6,0,Ophthalmology
2023-01-27,0,1,0,Ophthalmology
2023-01-28,0,0,0,Ophthalmology
2023-01-29,0,0,0,Ophthalmology
2023-01-30,0,0,0,Ophthalmology
2023-02-02,0,0,0,Ophthalmology
2023-02-03,0,0,0,Ophthalmology
2023-02-04,0,0,0,Ophthalmology
2023-02-05,0,0,0,Ophthalmology
2023-02-06,0,0,0,Ophthalmology
2023-02-07,0,0,0,Ophthalmology
2023-02-09,0,0,0,Ophthalmology
2023-02-10,0,0,0,Ophthalmology
2023-02-11,0,0,0,Ophthalmology
2023-02-12,0,0,0,Ophthalmology
2023-02-13,0,0,0,Ophthalmology
2023-02-16,0,0,0,Ophthalmology
2023-02-17,0,0,0,Ophthalmology
2023-02-18,0,0,0,Ophthalmology
2023-02-19,0,0,0,Ophthalmology
2023-02-23,0,0,0,Ophthalmology
2023-02-24,0,0,0,Ophthalmology
