dt,adms,dtas,rott,speciality
2023-01-04,7,3,6,Oral Surgery
2023-01-12,1,1,10,Oral Surgery
2023-01-25,1,7,3,Oral Surgery
2023-01-26,1,4,6,Oral Surgery
2023-01-27,8,6,14,Oral Surgery
2023-02-01,2,1,9,Oral Surgery
2023-02-15,5,1,3,Oral Surgery
2023-02-24,6,9,2,Oral Surgery
2022-12-26,0,6,6,Oral Surgery
2022-12-27,0,5,10,Oral Surgery
2022-12-28,0,1,1,Oral Surgery
2022-12-29,0,4,5,Oral Surgery
2022-12-30,0,12,18,Oral Surgery
2022-12-31,0,17,1,Oral Surgery
2023-01-01,0,6,13,Oral Surgery
2023-01-02,0,1,3,Oral Surgery
2023-01-03,0,7,10,Oral Surgery
2023-01-05,0,2,11,Oral Surgery
2023-01-06,0,6,1,Oral Surgery
2023-01-07,0,1,3,Oral Surgery
2023-01-08,0,6,1,Oral Surgery
2023-01-09,0,10,23,Oral Surgery
2023-01-10,0,5,1,Oral Surgery
2023-01-11,0,7,4,Oral Surgery
2023-01-13,0,6,6,Oral Surgery
2023-01-14,0,12,3,Oral Surgery
2023-01-15,0,15,27,Oral Surgery
2023-01-16,0,2,0,Oral Surgery
2023-01-17,0,1,0,Oral Surgery
2023-01-18,0,1,0,Oral Surgery
2023-01-19,0,6,0,Oral Surgery
2023-01-20,0,4,0,Oral Surgery
2023-01-21,0,9,0,Oral Surgery
2023-01-22,0,2,0,Oral Surgery
2023-01-23,0,0,0,Oral Surgery
2023-01-24,0,0,0,Oral Surgery
2023-01-28,0,0,0,Oral Surgery
2023-01-29,0,0,0,Oral Surgery
2023-01-30,0,0,0,Oral Surgery
2023-01-31,0,0,0,Oral Surgery
2023-02-02,0,0,0,Oral Surgery
2023-02-03,0,0,0,Oral Surgery
2023-02-04,0,0,0,Oral Surgery
2023-02-05,0,0,0,Oral Surgery
2023-02-06,0,0,0,Oral Surgery
2023-02-07,0,0,0,Oral Surgery
2023-02-08,0,0,0,Oral Surgery
2023-02-09,0,0,0,Oral Surgery
2023-02-10,0,0,0,Oral Surgery
2023-02-11,0,0,0,Oral Surgery
2023-02-12,0,0,0,Oral Surgery
2023-02-13,0,0,0,Oral Surgery
2023-02-14,0,0,0,Oral Surgery
2023-02-16,0,0,0,Oral Surgery
2023-02-17,0,0,0,Oral Surgery
2023-02-18,0,0,0,Oral Surgery
2023-02-19,0,0,0,Oral Surgery
2023-02-20,0,0,0,Oral Surgery
2023-02-21,0,0,0,Oral Surgery
2023-02-22,0,0,0,Oral Surgery
2023-02-23,0,0,0,Oral Surgery
