dt,adms,dtas,rott,speciality
2022-12-30,12,5,1,Paediatric Dentistry
2023-01-06,11,1,1,Paediatric Dentistry
2023-01-13,11,1,1,Paediatric Dentistry
2023-01-20,11,20,1,Paediatric Dentistry
2023-02-03,12,19,2,Paediatric Dentistry
2023-02-10,11,7,1,Paediatric Dentistry
2023-02-17,12,4,2,Paediatric Dentistry
2022-12-26,0,1,4,Paediatric Dentistry
2022-12-27,0,1,1,Paediatric Dentistry
2022-12-28,0,3,1,Paediatric Dentistry
2022-12-29,0,8,3,Paediatric Dentistry
2022-12-31,0,2,1,Paediatric Dentistry
2023-01-01,0,19,2,Paediatric Dentistry
2023-01-02,0,4,1,Paediatric Dentistry
2023-01-03,0,0,0,Paediatric Dentistry
2023-01-04,0,0,0,Paediatric Dentistry
2023-01-05,0,0,0,Paediatric Dentistry
2023-01-07,0,0,0,Paediatric Dentistry
2023-01-08,0,0,0,Paediatric Dentistry
2023-01-09,0,0,0,Paediatric Dentistry
2023-01-10,0,0,0,Paediatric Dentistry
2023-01-11,0,0,0,Paediatric Dentistry
2023-01-12,0,0,0,Paediatric Dentistry
2023-01-14,0,0,0,Paediatric Dentistry
2023-01-15,0,0,0,Paediatric Dentistry
2023-01-16,0,0,0,Paediatric Dentistry
2023-01-17,0,0,0,Paediatric Dentistry
2023-01-18,0,0,0,Paediatric Dentistry
2023-01-19,0,0,0,Paediatric Dentistry
2023-01-21,0,0,0,Paediatric Dentistry
2023-01-22,0,0,0,Paediatric Dentistry
2023-01-23,0,0,0,Paediatric Dentistry
2023-01-24,0,0,0,Paediatric Dentistry
2023-01-25,0,0,0,Paediatric Dentistry
2023-01-26,0,0,0,Paediatric Dentistry
2023-01-27,0,0,0,Paediatric Dentistry
2023-01-28,0,0,0,Paediatric Dentistry
2023-01-29,0,0,0,Paediatric Dentistry
2023-01-30,0,0,0,Paediatric Dentistry
2023-01-31,0,0,0,Paediatric Dentistry
2023-02-01,0,0,0,Paediatric Dentistry
2023-02-02,0,0,0,Paediatric Dentistry
2023-02-04,0,0,0,Paediatric Dentistry
2023-02-05,0,0,0,Paediatric Dentistry
2023-02-06,0,0,0,Paediatric Dentistry
2023-02-07,0,0,0,Paediatric Dentistry
2023-02-08,0,0,0,Paediatric Dentistry
2023-02-09,0,0,0,Paediatric Dentistry
2023-02-11,0,0,0,Paediatric Dentistry
2023-02-12,0,0,0,Paediatric Dentistry
2023-02-13,0,0,0,Paediatric Dentistry
2023-02-14,0,0,0,Paediatric Dentistry
2023-02-15,0,0,0,Paediatric Dentistry
2023-02-16,0,0,0,Paediatric Dentistry
2023-02-18,0,0,0,Paediatric Dentistry
2023-02-19,0,0,0,Paediatric Dentistry
2023-02-20,0,0,0,Paediatric Dentistry
2023-02-21,0,0,0,Paediatric Dentistry
2023-02-22,0,0,0,Paediatric Dentistry
2023-02-23,0,0,0,Paediatric Dentistry
2023-02-24,0,0,0,Paediatric Dentistry
