dt,adms,dtas,rott,speciality
2022-12-28,7,8,1,Rheumatology
2022-12-29,4,4,3,Rheumatology
2022-12-30,2,1,1,Rheumatology
2023-01-03,1,2,1,Rheumatology
2023-01-04,4,3,1,Rheumatology
2023-01-05,3,16,3,Rheumatology
2023-01-06,5,5,3,Rheumatology
2023-01-09,4,6,1,Rheumatology
2023-01-10,2,11,1,Rheumatology
2023-01-11,1,1,1,Rheumatology
2023-01-12,5,6,1,Rheumatology
2023-01-13,3,9,2,Rheumatology
2023-01-16,4,3,2,Rheumatology
2023-01-17,5,9,1,Rheumatology
2023-01-18,3,10,1,Rheumatology
2023-01-19,5,4,1,Rheumatology
2023-01-20,1,6,3,Rheumatology
2023-01-23,5,7,3,Rheumatology
2023-01-24,4,9,0,Rheumatology
2023-01-25,8,2,0,Rheumatology
2023-01-26,7,4,0,Rheumatology
2023-01-27,1,4,0,Rheumatology
2023-01-30,6,6,0,Rheumatology
2023-01-31,4,3,0,Rheumatology
2023-02-01,4,5,0,Rheumatology
2023-02-02,4,3,0,Rheumatology
2023-02-06,4,5,0,Rheumatology
2023-02-07,3,7,0,Rheumatology
2023-02-08,5,0,0,Rheumatology
2023-02-09,9,0,0,Rheumatology
2023-02-10,1,0,0,Rheumatology
2022-12-23,0,0,0,Rheumatology
2022-12-24,0,0,0,Rheumatology
2022-12-25,0,0,0,Rheumatology
2022-12-26,0,0,0,Rheumatology
2022-12-27,0,0,0,Rheumatology
2022-12-31,0,0,0,Rheumatology
2023-01-01,0,0,0,Rheumatology
2023-01-02,0,0,0,Rheumatology
2023-01-07,0,0,0,Rheumatology
2023-01-08,0,0,0,Rheumatology
2023-01-14,0,0,0,Rheumatology
2023-01-15,0,0,0,Rheumatology
2023-01-21,0,0,0,Rheumatology
2023-01-22,0,0,0,Rheumatology
2023-01-28,0,0,0,Rheumatology
2023-01-29,0,0,0,Rheumatology
2023-02-03,0,0,0,Rheumatology
2023-02-04,0,0,0,Rheumatology
2023-02-05,0,0,0,Rheumatology
2023-02-11,0,0,0,Rheumatology
