dt,adms,dtas,rott,speciality
2023-01-03,4,3,1,Thoracic Medicine
2023-01-05,1,2,1,Thoracic Medicine
2023-01-06,2,2,2,Thoracic Medicine
2023-01-09,4,1,1,Thoracic Medicine
2023-01-10,3,2,0,Thoracic Medicine
2023-01-12,1,3,0,Thoracic Medicine
2023-01-13,1,1,0,Thoracic Medicine
2023-01-16,4,2,0,Thoracic Medicine
2023-01-17,3,1,0,Thoracic Medicine
2023-01-19,1,3,0,Thoracic Medicine
2023-01-23,1,1,0,Thoracic Medicine
2023-01-24,5,2,0,Thoracic Medicine
2023-01-26,2,2,0,Thoracic Medicine
2023-01-27,2,4,0,Thoracic Medicine
2023-01-30,4,2,0,Thoracic Medicine
2023-01-31,5,3,0,Thoracic Medicine
2023-02-06,3,1,0,Thoracic Medicine
2023-02-07,4,4,0,Thoracic Medicine
2023-02-09,1,2,0,Thoracic Medicine
2023-02-10,2,2,0,Thoracic Medicine
2023-02-13,4,2,0,Thoracic Medicine
2023-02-14,2,2,0,Thoracic Medicine
2023-02-20,5,1,0,Thoracic Medicine
2023-02-21,4,1,0,Thoracic Medicine
2023-02-23,1,5,0,Thoracic Medicine
2023-02-24,1,3,0,Thoracic Medicine
2022-12-26,0,1,0,Thoracic Medicine
2022-12-27,0,2,0,Thoracic Medicine
2022-12-28,0,4,0,Thoracic Medicine
2022-12-29,0,2,0,Thoracic Medicine
2022-12-30,0,1,0,Thoracic Medicine
2022-12-31,0,2,0,Thoracic Medicine
2023-01-01,0,2,0,Thoracic Medicine
2023-01-02,0,0,0,Thoracic Medicine
2023-01-04,0,0,0,Thoracic Medicine
2023-01-07,0,0,0,Thoracic Medicine
2023-01-08,0,0,0,Thoracic Medicine
2023-01-11,0,0,0,Thoracic Medicine
2023-01-14,0,0,0,Thoracic Medicine
2023-01-15,0,0,0,Thoracic Medicine
2023-01-18,0,0,0,Thoracic Medicine
2023-01-20,0,0,0,Thoracic Medicine
2023-01-21,0,0,0,Thoracic Medicine
2023-01-22,0,0,0,Thoracic Medicine
2023-01-25,0,0,0,Thoracic Medicine
2023-01-28,0,0,0,Thoracic Medicine
2023-01-29,0,0,0,Thoracic Medicine
2023-02-01,0,0,0,Thoracic Medicine
2023-02-02,0,0,0,Thoracic Medicine
2023-02-03,0,0,0,Thoracic Medicine
2023-02-04,0,0,0,Thoracic Medicine
2023-02-05,0,0,0,Thoracic Medicine
2023-02-08,0,0,0,Thoracic Medicine
2023-02-11,0,0,0,Thoracic Medicine
2023-02-12,0,0,0,Thoracic Medicine
2023-02-15,0,0,0,Thoracic Medicine
2023-02-16,0,0,0,Thoracic Medicine
2023-02-17,0,0,0,Thoracic Medicine
2023-02-18,0,0,0,Thoracic Medicine
2023-02-19,0,0,0,Thoracic Medicine
2023-02-22,0,0,0,Thoracic Medicine
