dt,adms,dtas,rott,speciality
2022-12-23,30,42,9,Trauma & Orthopaedics
2022-12-28,7,17,1,Trauma & Orthopaedics
2022-12-29,10,37,5,Trauma & Orthopaedics
2022-12-30,6,23,12,Trauma & Orthopaedics
2023-01-03,22,2,7,Trauma & Orthopaedics
2023-01-04,22,38,6,Trauma & Orthopaedics
2023-01-05,32,60,21,Trauma & Orthopaedics
2023-01-06,37,52,7,Trauma & Orthopaedics
2023-01-09,36,59,12,Trauma & Orthopaedics
2023-01-10,25,1,11,Trauma & Orthopaedics
2023-01-11,24,46,10,Trauma & Orthopaedics
2023-01-12,38,55,8,Trauma & Orthopaedics
2023-01-13,31,53,8,Trauma & Orthopaedics
2023-01-16,53,76,6,Trauma & Orthopaedics
2023-01-17,21,55,13,Trauma & Orthopaedics
2023-01-19,3,7,13,Trauma & Orthopaedics
2023-01-20,41,38,6,Trauma & Orthopaedics
2023-01-21,1,42,16,Trauma & Orthopaedics
2023-01-22,1,25,8,Trauma & Orthopaedics
2023-01-23,40,64,12,Trauma & Orthopaedics
2023-01-24,30,73,12,Trauma & Orthopaedics
2023-01-25,40,3,13,Trauma & Orthopaedics
2023-01-26,34,47,11,Trauma & Orthopaedics
2023-01-27,44,25,12,Trauma & Orthopaedics
2023-01-28,3,63,1,Trauma & Orthopaedics
2023-01-30,48,61,1,Trauma & Orthopaedics
2023-01-31,28,43,14,Trauma & Orthopaedics
2023-02-01,38,3,9,Trauma & Orthopaedics
2023-02-02,41,2,7,Trauma & Orthopaedics
2023-02-03,42,44,11,Trauma & Orthopaedics
2023-02-04,5,44,10,Trauma & Orthopaedics
2023-02-06,17,42,1,Trauma & Orthopaedics
2023-02-07,6,57,5,Trauma & Orthopaedics
2023-02-08,36,35,10,Trauma & Orthopaedics
2023-02-09,45,2,10,Trauma & Orthopaedics
2023-02-10,43,40,15,Trauma & Orthopaedics
2023-02-11,1,37,8,Trauma & Orthopaedics
2022-12-24,0,69,0,Trauma & Orthopaedics
2022-12-25,0,58,0,Trauma & Orthopaedics
2022-12-26,0,40,0,Trauma & Orthopaedics
2022-12-27,0,3,0,Trauma & Orthopaedics
2022-12-31,0,0,0,Trauma & Orthopaedics
2023-01-01,0,0,0,Trauma & Orthopaedics
2023-01-02,0,0,0,Trauma & Orthopaedics
2023-01-07,0,0,0,Trauma & Orthopaedics
2023-01-08,0,0,0,Trauma & Orthopaedics
2023-01-14,0,0,0,Trauma & Orthopaedics
2023-01-15,0,0,0,Trauma & Orthopaedics
2023-01-18,0,0,0,Trauma & Orthopaedics
2023-01-29,0,0,0,Trauma & Orthopaedics
2023-02-05,0,0,0,Trauma & Orthopaedics
