dt,adms,dtas,rott,speciality
2022-12-28,5,1,2,Urology
2022-12-29,5,8,1,Urology
2022-12-30,6,6,1,Urology
2023-01-03,3,2,3,Urology
2023-01-04,5,8,1,Urology
2023-01-05,1,11,4,Urology
2023-01-06,16,5,3,Urology
2023-01-09,7,13,2,Urology
2023-01-11,10,7,1,Urology
2023-01-12,13,9,3,Urology
2023-01-13,6,22,2,Urology
2023-01-16,6,8,2,Urology
2023-01-17,2,3,2,Urology
2023-01-20,17,6,18,Urology
2023-01-23,7,9,1,Urology
2023-01-24,2,9,5,Urology
2023-01-25,11,10,2,Urology
2023-01-26,10,16,3,Urology
2023-01-27,4,18,1,Urology
2023-01-30,7,13,3,Urology
2023-01-31,1,10,1,Urology
2023-02-01,5,7,14,Urology
2023-02-02,2,8,3,Urology
2023-02-03,19,5,14,Urology
2023-02-06,5,7,1,Urology
2023-02-08,8,1,1,Urology
2023-02-09,9,3,1,Urology
2023-02-10,6,6,1,Urology
2023-02-12,6,3,3,Urology
2023-02-13,6,11,2,Urology
2023-02-15,6,8,1,Urology
2023-02-16,8,6,4,Urology
2023-02-17,17,9,3,Urology
2023-02-20,5,23,4,Urology
2023-02-22,12,3,1,Urology
2023-02-23,10,4,1,Urology
2023-02-24,6,2,1,Urology
2022-12-26,0,9,13,Urology
2022-12-27,0,10,3,Urology
2022-12-31,0,11,1,Urology
2023-01-01,0,14,0,Urology
2023-01-02,0,11,0,Urology
2023-01-07,0,0,0,Urology
2023-01-08,0,0,0,Urology
2023-01-10,0,0,0,Urology
2023-01-14,0,0,0,Urology
2023-01-15,0,0,0,Urology
2023-01-18,0,0,0,Urology
2023-01-19,0,0,0,Urology
2023-01-21,0,0,0,Urology
2023-01-22,0,0,0,Urology
2023-01-28,0,0,0,Urology
2023-01-29,0,0,0,Urology
2023-02-04,0,0,0,Urology
2023-02-05,0,0,0,Urology
2023-02-07,0,0,0,Urology
2023-02-11,0,0,0,Urology
2023-02-14,0,0,0,Urology
2023-02-18,0,0,0,Urology
2023-02-19,0,0,0,Urology
2023-02-21,0,0,0,Urology
