dt,adms,dtas,rott,speciality
2023-01-04,2,1,1,Vascular Surgery
2023-01-09,1,2,1,Vascular Surgery
2023-01-10,1,2,1,Vascular Surgery
2023-01-24,1,2,2,Vascular Surgery
2023-01-26,5,1,1,Vascular Surgery
2023-01-30,1,3,0,Vascular Surgery
2023-01-31,1,1,0,Vascular Surgery
2023-02-01,3,7,0,Vascular Surgery
2023-02-02,1,1,0,Vascular Surgery
2023-02-09,5,4,0,Vascular Surgery
2022-12-23,0,2,0,Vascular Surgery
2022-12-24,0,1,0,Vascular Surgery
2022-12-25,0,3,0,Vascular Surgery
2022-12-26,0,1,0,Vascular Surgery
2022-12-27,0,7,0,Vascular Surgery
2022-12-28,0,1,0,Vascular Surgery
2022-12-29,0,1,0,Vascular Surgery
2022-12-30,0,2,0,Vascular Surgery
2022-12-31,0,1,0,Vascular Surgery
2023-01-01,0,0,0,Vascular Surgery
2023-01-02,0,0,0,Vascular Surgery
2023-01-03,0,0,0,Vascular Surgery
2023-01-05,0,0,0,Vascular Surgery
2023-01-06,0,0,0,Vascular Surgery
2023-01-07,0,0,0,Vascular Surgery
2023-01-08,0,0,0,Vascular Surgery
2023-01-11,0,0,0,Vascular Surgery
2023-01-12,0,0,0,Vascular Surgery
2023-01-13,0,0,0,Vascular Surgery
2023-01-14,0,0,0,Vascular Surgery
2023-01-15,0,0,0,Vascular Surgery
2023-01-16,0,0,0,Vascular Surgery
2023-01-17,0,0,0,Vascular Surgery
2023-01-18,0,0,0,Vascular Surgery
2023-01-19,0,0,0,Vascular Surgery
2023-01-20,0,0,0,Vascular Surgery
2023-01-21,0,0,0,Vascular Surgery
2023-01-22,0,0,0,Vascular Surgery
2023-01-23,0,0,0,Vascular Surgery
2023-01-25,0,0,0,Vascular Surgery
2023-01-27,0,0,0,Vascular Surgery
2023-01-28,0,0,0,Vascular Surgery
2023-01-29,0,0,0,Vascular Surgery
2023-02-03,0,0,0,Vascular Surgery
2023-02-04,0,0,0,Vascular Surgery
2023-02-05,0,0,0,Vascular Surgery
2023-02-06,0,0,0,Vascular Surgery
2023-02-07,0,0,0,Vascular Surgery
2023-02-08,0,0,0,Vascular Surgery
2023-02-10,0,0,0,Vascular Surgery
2023-02-11,0,0,0,Vascular Surgery
